Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
NFT Champions,CHAMP,$0.00191,-7.60%,$7.87 K,$1.91 M,,0.19x,$1.6 M,"Oct 27, 2021"
Clearpool,CPOOL,$0.09946,1.32%,$573.09 K,$100.4 M,$60.33 M,2.47x,$3.25 M,"Oct 27, 2021"
MetaWars,WARS,$0.000363,0.17%,$6.5,$546 K,,0.05x,$2.55 M,"Oct 27, 2021"
Fei Protocol,Tribe / Fei (Stable),$1.044,5.93%,$27.79 K,$7.26 M,$17.16 M,1.05x,$19 M,"Oct 26, 2021"
OneArt,1ART,$0.00433,-0.87%,$12.28 K,$1.49 M,$620.99 K,0.04x,$1.81 M,"Oct 26, 2021"
Baked Token,BAKED,$0.000943,-7.76%,$21.5 K,$282.6 K,$65.82 K,0.03x,$1.42 M,"Oct 26, 2021"
Aurory,AURY,$0.242,-1.41%,$68.74 K,$24.22 M,$14.95 M,0.02x,$108.85 M,"Oct 25, 2021"
Mech Master,MECH,$0.000787,-0.37%,$1.02,$512.85 K,,0.02x,$2.6 M,"Oct 25, 2021"
Marnotaur,TAUR,$0.000701,6.42%,$1.18 K,$105.15 K,,0.01x,$1.65 M,"Oct 25, 2021"
BloXmove,BLXM,$0.03828,6.53%,$3.13 K,$1.91 M,,0.05x,$3.3 M,"Oct 22, 2021"
StrongNode,SNE,$0.00000635,22.12%,$86.92,$63.4 K,,0.01x,$2.08 M,"Oct 22, 2021"
Hero Arena,HERA,$0.00133,-8.70%,$1.62 K,$133 K,,0.01x,$1.25 M,"Oct 21, 2021"
Lazio Fan Token,LAZIO,$1.217,-0.42%,$6.28 M,$48.68 M,$10.11 M,1.22x,$4 M,"Oct 20, 2021"
Roco Finance,ROCO,$0.08006,-2.14%,$66.98 K,$7.97 M,$1.38 M,0.67x,$4.2 M,"Oct 20, 2021"
XCarnival,XCV,$0.00103,1.39%,$73.95 K,$1.03 M,$814.36 K,0.09x,$2 M,"Oct 20, 2021"
Evrynet,EVRY,$0.01018,-4.92%,$605.23,$10.18 M,$411.16 K,0.1x,$7.2 M,"Oct 20, 2021"
King Shiba,KINGSHIB,$0.00279,-1.12%,$2.45 K,$1.19 M,$976.58 K,0.04x,$190 K,"Oct 19, 2021"
Braintrust,BTRST,$0.4728,-1.48%,$9.82 K,$117.92 M,$110.66 M,0.06x,$141.81 M,"Oct 19, 2021"
Demole,DMLG,$0.000293,-2.11%,$1.77 K,$146.5 K,,0.01x,$2.12 M,"Oct 19, 2021"
ShoeFy,SHOE,$0.00186,2.60%,$2.05 K,$186 K,$24.21 K,0.01x,$4.7 M,"Oct 19, 2021"
SSV Network,SSV,$20.62,5.01%,$19.64 M,$239.53 M,$188.87 M,1.1x,$10 M,"Oct 18, 2021"
Cryptopolis,CPO,$0.000076,14.40%,$55.19,$55.5 K,$6.76 K,0.01x,$2.04 M,"Oct 18, 2021"
DfiStarter,DFI,$0.00364,-0.14%,$29.24 K,$364 K,,0.02x,,"Oct 17, 2021"
Tutellus,TUT,$0.01472,-4.55%,$72.31,$36.41 K,,0.29x,$22.75 M,"Oct 17, 2021"
Sinverse,SIN,$0.00291,-3.07%,$288.57 K,$2.9 M,$1.95 M,0.15x,$4.76 M,"Oct 16, 2021"
Internet of Energy Network,IOEN,$0.00261,-1.35%,$12.99 K,$2.52 M,$827.5 K,0.1x,$2.77 M,"Oct 16, 2021"
DAOSquare,RICE,$0.1029,-0.16%,$2.04 K,$10.29 M,,0.51x,$13.13 M,"Oct 16, 2021"
Socean,SCNSOL,$180.17,-1.41%,$9.29 M,$120.03 M,$39.31 M,1.22x,$5.75 M,"Oct 14, 2021"
Ore Network,ORE,$0.000486,2.61%,$312.56,$520.46 K,$273.68 K,0.01x,$450 K,"Oct 14, 2021"
Revault,REVA,$0.000336,2.68%,$85.1,$1.83 K,,0.01x,$1.94 M,"Oct 14, 2021"
Highstreet,HIGH,$1.309,3.57%,$9.12 M,$130.7 M,$87.04 M,0.09x,$11.45 M,"Oct 14, 2021"
Nakamoto Games,NAKA,$0.7489,-3.72%,$43.27 M,$134.86 M,$67.75 M,4.16x,$7.98 M,"Oct 14, 2021"
Strips Finance,STRP,$0.5839,-1.36%,$3.74 K,$58.39 M,$2.41 M,0.12x,$15.25 M,"Oct 14, 2021"
Blockchain Monster Hunt,BCMC,$0.00234,1.28%,$2.33 K,$2.34 M,$569.71 K,0.03x,$4.26 M,"Oct 14, 2021"
FireStarter,FLAME,$0.02606,-7.19%,$131.14 K,$2.55 M,$1.79 M,0.43x,$1.41 M,"Oct 14, 2021"
HappyFans,HAPPY,$0.00000179,-1.10%,$2.14,$179 K,,0.03x,$1.9 M,"Oct 13, 2021"
The Three Kingdoms,TTK,$0.00118,-23.82%,$3.22 K,$1.18 M,$965.03 K,0.07x,$3.2 M,"Oct 13, 2021"
Kawaii Islands,KWT,$0.000702,-0.83%,$200.75,$560.86 K,$21.06 K,0.02x,$2.65 M,"Oct 12, 2021"
DecentraWeb,DWEB,$0.02169,1.18%,$1.2 K,$2.16 M,,0.18x,$2.65 M,"Oct 12, 2021"
Ojamu,JA,$0.00186,1.08%,$921.3,$185 K,$185.99 K,0.02x,$2.06 M,"Oct 11, 2021"
Defina,FINA,$0.00179,-2.59%,$26.22 K,$134.95 K,$121.4 K,0.01x,$685 K,"Oct 11, 2021"
Heroes & Empires,HE,$0.00101,-8.93%,$4.77 K,$326.55 K,,0.1x,$1.66 M,"Oct 11, 2021"
Botto,BOTTO,$0.4116,6.67%,$171.86 K,$41.06 M,$19.65 M,0.57x,$1.67 M,"Oct 8, 2021"
Waggle Network,WAG,$0.00185,-2.48%,$4.83 K,$186 K,,0.01x,$3.25 M,"Oct 8, 2021"
Warena,RENA,$0.00109,-8.22%,$4.06 K,$108 K,$7.48 K,0.01x,$1.9 M,"Oct 8, 2021"
SolRazr,SOLR,$0.00344,-88.33%,$303.82,$343.99 K,,0.01x,$3.3 M,"Oct 7, 2021"
Rangers Protocol,RPG,$1.363,-2.47%,$388.56,$28.52 M,$12.68 M,0.34x,$4.12 M,"Oct 7, 2021"
AstroSwap,ASTRO,$0.000305,-1.00%,$1.97 K,$1.16 M,$1.04 M,0.32x,$1.15 M,"Oct 7, 2021"
Bloktopia,BLOK,$0.000796,-0.40%,$137.99 K,$159.2 M,,3.2x,$8.39 M,"Oct 6, 2021"
FUFU,FUFU,$0.000277,-0.67%,$257.36,$231.84 K,,0.01x,$1.9 M,"Oct 5, 2021"
YouClout,YCT,$0.000054,-0.22%,$143.86 K,$54 K,,0.01x,$2.77 M,"Oct 5, 2021"
Planet Sandbox,PSB,$0.00312,-1.62%,$3.69 K,$79.88 K,,0.02x,$1.98 M,"Oct 5, 2021"
Beyond Protocol,BYND,$0.000401,-21.51%,$988.93,$200.5 K,$66.19 K,0.01x,$5.8 M,"Oct 4, 2021"
Green Beli,GRBE,$0.00106,0.22%,$2.31 K,$1.06 M,,0.13x,$1.16 M,"Oct 4, 2021"
My Master War,MAT,$0.00242,-1.96%,$2.37 K,$242 K,$171.17 K,0.02x,$1.5 M,"Oct 4, 2021"
Brokoli Network,BRKL,$0.0041,1.45%,$3.25 K,$512.5 K,$219.24 K,0.07x,$2.25 M,"Oct 4, 2021"
Retreeb,TREEB,$0.00325,7.57%,$2.57 K,$3.26 M,$1.78 M,0.33x,$2.7 M,"Oct 3, 2021"
NFTY,NFTY,$0.000236,-1.46%,$22.3,$225.73 K,$131.36 K,0.02x,$2.09 M,"Oct 3, 2021"
Jax.Network,WJXN,$0.01839,,$7.79,$735.64 K,,0.02x,,"Oct 3, 2021"
Enjinstarter,EJS,$0.00188,1.20%,$58.24 K,$9.23 M,,0.23x,$10.93 M,"Oct 2, 2021"
GameZone,GZONE,$0.00804,-3.22%,$7.15 K,$6.75 M,$6.75 M,1.59x,$550 K,"Sep 30, 2021"
Orion Money,ORION,$0.000948,-4.20%,$3.29 K,$952 K,$90.06 K,0.02x,$5.7 M,"Sep 30, 2021"
Allbridge,ABR,$0.1233,-0.22%,$2.78 K,$11.92 M,,0.62x,$125 K,"Sep 29, 2021"
Beta Finance,BETA,$0.04642,-1.10%,$4.06 M,$46.43 M,$38.47 M,0.77x,$11.55 M,"Sep 29, 2021"
NASDEX Token,NSDX,$0.02824,1.07%,$10.54 K,$2.82 M,$32.09 K,0.11x,$1.48 M,"Sep 28, 2021"
Ridotto,RDT,$0.01387,11.10%,$2.81 K,$7.06 M,,0.27x,$2.94 M,"Sep 28, 2021"
Divergence Protocol,DIVER,$0.00908,0.91%,$152.75 K,$29.57 M,$5.99 M,0.03x,,"Sep 28, 2021"
Divergence,DIVER,$0.00908,0.91%,$152.75 K,$9.06 M,$5.99 M,0.03x,,"Sep 28, 2021"
Knight War Spirits,KWS,$0.000156,1.72%,$2.27 K,$78 K,,0.01x,$2.17 M,"Sep 26, 2021"
Revolve Games,RPG,$0.00644,-1.75%,$5.45 K,$615.6 K,$496.93 K,0.06x,$2.32 M,"Sep 26, 2021"
Revest Finance,RVST,$0.03333,1.12%,$9.48 K,$3.32 M,,0.24x,$6.72 M,"Sep 26, 2021"
Mobius Finance,MOT,$0.000733,7.00%,$4.7 K,$8.39 K,,0.01x,$2.79 M,"Sep 25, 2021"
DeFi Kingdoms,JEWEL,$0.109,0.66%,$26.75 K,$13.19 M,$12.38 M,0.08x,,"Sep 23, 2021"
Opulous,OPUL,$0.06192,1.25%,$176.41 K,$30.55 M,$17.57 M,1.24x,$6.45 M,"Sep 23, 2021"
Flourishing AI,AI,$0.0569,13.82%,$11.07 K,$3.03 M,,0.47x,$1.59 M,"Sep 22, 2021"
Weld.Money,WELD,$0.00412,1.28%,$150.85,$1.03 M,,0.05x,$3.22 M,"Sep 22, 2021"
Octopus Network,OCT,$0.1344,0.93%,$49.24 K,$13.44 M,,0.07x,$15.05 M,"Sep 22, 2021"
VelasPad,VLXPAD,$0.00358,7.68%,$51.13,$1.55 M,$848.63 K,0.72x,$378 K,"Sep 22, 2021"
Forest Knight,KNIGHT,$0.01303,2.61%,$863.03,$1.33 M,$266.98 K,0.09x,$335 K,"Sep 22, 2021"
handle.fi,FOREX,$0.001,-5.33%,$2.47 K,$424.2 K,$114.17 K,0.01x,$4.41 M,"Sep 20, 2021"
Thales,THALES,$0.2076,2.98%,$5.43 K,$20.63 M,,0.08x,$7.5 M,"Sep 19, 2021"
Larix,LARIX,$0.000165,2.38%,$3.25 K,$75 M,,0.02x,$200 K,"Sep 19, 2021"
Parrot,PRT,$0.000114,-1.52%,$18.49,$865.2 M,,0.01x,$89.77 M,"Sep 19, 2021"
Radix DLT,RADIX,$0.02708,-2.10%,$1.41 M,$651.84 M,$277.1 M,0.69x,$28.7 M,"Sep 17, 2021"
Vee.Finance,VEE,$0.000051,-4.03%,$3.03 K,$510 K,,0.01x,$7.5 M,"Sep 16, 2021"
Monsta Infinite,MONI,$0.00763,0.69%,$242.71 K,$2.04 M,$1.2 M,0.04x,$4.43 M,"Sep 16, 2021"
Paribus,PBX,$0.000715,0.56%,$322.16 K,$6.64 M,$5.16 M,2.38x,$997 K,"Sep 16, 2021"
Torum,XTM,$0.03073,-0.38%,$177.17 K,$24.66 M,$5.96 M,0.51x,$2.25 M,"Sep 15, 2021"
Integral,ITGR,$0.00395,28.90%,$80.06 K,$1.18 M,$852.13 K,0.01x,$35.77 M,"Sep 15, 2021"
XP Network,XPNET,$0.00165,0.46%,$7.21 K,$1.64 M,$217.59 K,0.08x,$5.56 M,"Sep 14, 2021"
Realm,REALM,$0.000967,-20.60%,$14.17 K,$969 K,,0.03x,$2.88 M,"Sep 14, 2021"
Grape Protocol,GRAPE,$0.000553,2.75%,$3.31,$39.37 K,,0.03x,$1.8 M,"Sep 14, 2021"
CryptoMines Eternal,ETERNAL,$0.1713,0.62%,$3.88 K,$857 K,,0.01x,$535.7 K,"Sep 13, 2021"
Gelato,GEL,$0.2067,4.29%,$82.97 K,$262.47 M,$50.69 M,0.14x,,"Sep 13, 2021"
GMX,GMX,$26.25,5.73%,$16.84 M,$251.98 M,$252.56 M,31.98x,$14.5 M,"Sep 12, 2021"
Aladdin DAO,ALD,$0.02415,1.67%,$3.16 K,$3.61 M,$3.62 M,0.03x,,"Sep 9, 2021"
Copycat Finance,COPYCAT,$0.00437,0.27%,$2.77 K,$35 M,,0.02x,$983.46 K,"Sep 9, 2021"
Phantom,PHM,$0.00009,2.23%,$1.7 K,$50 M,,0.02x,$9.42 M,"Sep 8, 2021"
Creator Platform,CTR,$0.000579,-3.00%,$134.71,$86.7 K,,0.01x,$2.38 M,"Sep 8, 2021"
YAY.games,YAY,$0.00157,-0.12%,$65.95 K,$411.49 K,,0.14x,$1.9 M,"Sep 8, 2021"
IX Swap,IXS,$0.3658,1.40%,$184.56 K,$65.57 M,,0.94x,$2.74 M,"Sep 8, 2021"
WagyuSwap,WAG,$0.000887,0.69%,$3.59 K,$442.5 K,$48.04 K,0.09x,$225 K,"Sep 7, 2021"
Dope Wars Paper,PAPER,$0.0026,-1.28%,$956.78,$3.67 M,,0.19x,,"Sep 5, 2021"
Talken,TALK,$0.03944,0.49%,$214.69 K,$19.73 M,,0.03x,$1.05 M,"Sep 5, 2021"
Theos,THEOS,$0.000094,-0.13%,$3.36 K,$940 K,,0.01x,$3.63 M,"Sep 3, 2021"
NFT Launch,NFTL,$0.00255,3.75%,$1.21 K,$2.54 M,,1.69x,$363.75 K,"Sep 3, 2021"
Crypto Raiders,RAIDER,$0.00731,1.33%,$1.02 K,$731 K,,0.01x,$6 M,"Sep 2, 2021"
Vega Protocol,VEGA,$0.2099,8.83%,$97.23 K,$13.7 M,$13.02 M,0.01x,$59.85 M,"Sep 2, 2021"
Skyrim Finance,SKYRIM,$0.00034,-7.57%,$55.45,$34 K,$6.9 K,0.01x,$2.81 M,"Sep 2, 2021"
Adventure Gold,AGLD,$0.7985,2.28%,$3.85 M,$61.73 M,$61.73 M,1.74x,,"Sep 1, 2021"
Unvest,UNV,$0.00153,2.03%,$1.04 K,$1.53 M,$1.19 M,0.05x,$3.79 M,"Sep 1, 2021"
NearPad,PAD,$0.01021,2.58%,$1.09 K,$1.53 M,$332.52 K,0.04x,$2.95 M,"Sep 1, 2021"
Wanaka,WANA,$0.00309,0.54%,$560.32,$1.54 M,,0.01x,,"Sep 1, 2021"
Wanaka Farm,WANA,$0.00309,0.54%,$560.32,$1.54 M,,0.08x,$1.46 M,"Sep 1, 2021"
Polinate,POLI,$0.00058,-0.94%,$273.72,$592 K,$89.49 K,0.03x,$1.75 M,"Aug 31, 2021"
DeHub,DEHUB,$0.000425,-0.39%,$97.88,$3.4 M,$1.4 M,0.43x,$400 K,"Aug 31, 2021"
Star Atlas,ATLAS,$0.00164,-0.32%,$419.98 K,$59.4 M,$27.32 M,1.19x,$1.75 M,"Aug 31, 2021"
Star Atlas DAO,POLIS,$0.1096,1.45%,$245.22 K,$39.64 M,$28.71 M,0.79x,$996.8 K,"Aug 31, 2021"
Kaby Arena,KABY,$0.000372,-1.16%,$3.73 K,$373 K,$340.11 K,0.05x,$1.6 M,"Aug 31, 2021"
BaconDAO,BACON,$0.00034,46.73%,$10.12 K,$4.84 K,,0.01x,$895 K,"Aug 31, 2021"
Pandora Protocol,PNDR,$0.01031,-2.59%,$1.1,$198.75 K,,0.07x,$150 K,"Aug 30, 2021"
CyberDragon Gold,GOLD,$0,8.77%,$137.12,$0.01,,0.44x,$60 K,"Aug 28, 2021"
CrossSwap,CSWAP,$0.00985,0.59%,$24.41,$196.2 K,$197 K,0.98x,$300 K,"Aug 27, 2021"
EPIK Prime,EPIK,$0.00483,-0.14%,$338.34 K,$9.66 M,$5.36 M,0.4x,$4.47 M,"Aug 27, 2021"
Tune.FM,JAM,$0.000065,-25.31%,$228.1 K,$607.2 K,$596.81 K,0.01x,$20 M,"Aug 26, 2021"
Cryptomeda,TECH,$0.000306,1.63%,$12.36,$14 M,,0.02x,$2.75 M,"Aug 26, 2021"
The Open Network,TON,$6.47,2.86%,$646.46 M,$32.91 B,$16.29 B,9.22x,$618 M,"Aug 26, 2021"
Kryptomon,KMON,$0.00145,-2.89%,$101.38 K,$1.45 M,$275.27 K,0.22x,$1.36 M,"Aug 25, 2021"
Synthetify Token,SNY,$0.00427,1.00%,$147.56 K,$427 K,$49.36 K,0.01x,$1.05 M,"Aug 23, 2021"
Streamr,DATA,$0.03153,2.56%,$1.36 M,$35 M,$33.06 M,0.67x,$30.7 M,"Aug 22, 2021"
X World Games,XWG,$0.000392,-1.18%,$63.47 K,$3.89 M,$1.34 M,0.81x,$1.2 M,"Aug 20, 2021"
DEXTools,DEXT,$0.5042,1.44%,$87.88 K,$64.27 M,$42.73 M,0.73x,,"Aug 20, 2021"
Babylons,BABI,$0.00302,-0.48%,$5.63 K,$14.23 M,,0.08x,$1.68 M,"Aug 20, 2021"
Polytrade,TRADE,$0.5227,-0.16%,$976.66 K,$52.24 M,$19.51 M,3.5x,$5.51 M,"Aug 18, 2021"
Bepro Network,BEPRO,$0.000387,-0.42%,$280.14 K,$3.87 M,$3.87 M,0.19x,$3.05 M,"Aug 18, 2021"
BENQI,QI,$0.01264,0.91%,$1.01 M,$90.86 M,$59.87 M,1.4x,$10.95 M,"Aug 18, 2021"
Spherium,SPHRI,$0.0031,-5.51%,$2.78 K,$19.5 M,,0.02x,$3.91 M,"Aug 18, 2021"
Half Pizza,PIZA,$0.0000025,-7.61%,$3.98 K,$26.2 K,,0.01x,$149.67 K,"Aug 17, 2021"
SuperRare,RARE,$0.08256,21.14%,$44.43 M,$82.56 M,$57.92 M,1.33x,$9 M,"Aug 16, 2021"
Dexlab,DXL,$0.0053,-0.85%,$255.28,$5.28 M,$278.39 K,0.33x,$1.28 M,"Aug 16, 2021"
Moola Market,MOO,$0.00396,3.35%,$16.25,$396 K,,0.07x,$1.4 M,"Aug 15, 2021"
BitDAO,BIT,$1.044,-3.75%,$92.95 K,$10.4 B,,0.52x,$630 M,"Aug 15, 2021"
Sukhavati Network,SKT,$0.00102,4.39%,$2.33 K,$247.2 M,,0.01x,$8.05 M,"Aug 12, 2021"
Mango Markets,MNGO,$0.01478,-0.28%,$141.33 K,$148 M,$14.78 M,0.1x,$70.46 M,"Aug 11, 2021"
RaiderToken,RAIDER,$0.00737,2.58%,$962.53,$734 K,,0.01x,$6 M,"Aug 11, 2021"
Polymath,POLY,$0.05939,2.23%,$18.11 K,$59.13 M,$54.94 M,0.23x,$58.72 M,"Aug 10, 2021"
hi Dollar,HI,$0.000486,0.91%,$106.69 K,$4.77 M,$1.83 M,0.01x,$30 M,"Aug 10, 2021"
Port Finance,PORT,$0.00301,-0.19%,$116.74 K,$301 K,,0.01x,$7.74 M,"Aug 10, 2021"
Buying.com,BUY,$0.01974,0.01%,$145.36 K,$19.49 M,$6.55 M,0.79x,$5.08 M,"Aug 9, 2021"
Orca,ORCA,$2.328,0.93%,$128.15 K,$231.6 M,$121.18 M,1.17x,$19.02 M,"Aug 9, 2021"
CryptoArt.Ai,CART,$0.00646,-0.53%,$3.82 K,$644 K,,0.03x,$2.6 M,"Aug 9, 2021"
Gamestarter,GAME,$0.08292,-0.50%,$115.34 K,$25.5 M,$2.53 M,0.14x,,"Aug 9, 2021"
JOE,JOE,$0.2943,1.63%,$2.28 M,$136.31 M,$106.26 M,8.77x,$6.21 M,"Aug 8, 2021"
Saber Labs,SBR,$0.00186,1.58%,$72.73 K,$184.45 K,,0.37x,$7.7 M,"Aug 7, 2021"
EQIFI,EQX,$0.00332,-6.05%,$49.62 K,$1.66 M,,0.02x,$10 M,"Aug 7, 2021"
Lithium,LITH,$0.000558,-2.40%,$161.65 K,$5.59 M,$3.69 M,0.09x,$8.01 M,"Aug 5, 2021"
Landshare,LAND,$0.1182,17.93%,$3.59 M,$465.03 K,$459.39 K,0.01x,$750 K,"Aug 4, 2021"
HoDooi.com,HOD,$0.00162,-1.63%,$7.35 K,$1.62 M,$796.81 K,0.04x,$4.82 M,"Aug 4, 2021"
ETHPad,ETHPAD,$0.00248,1.36%,$135.25 K,$494.58 K,$494.58 K,1.77x,$450.5 K,"Aug 4, 2021"
Only1,LIKE,$0.02641,-4.21%,$345.27 K,$13.21 M,$8.75 M,0.12x,$4.43 M,"Aug 3, 2021"
Efinity,EFI,$0.04162,101.66%,$2.72 K,$83.2 M,$3.62 M,0.21x,$38.9 M,"Aug 3, 2021"
zkRace (former DeRace),ZERC,$0.138,-2.68%,$147 K,$16.64 M,$16.56 M,2.77x,$2.04 M,"Aug 2, 2021"
Eden Network,EDEN,$0.02886,-0.32%,$37.71 K,$2.89 M,$381.89 K,0.01x,$17.4 M,"Aug 1, 2021"
Proxy,PRXY,$0.01355,0.15%,$253.08,$88.69 K,,0.01x,$225 K,"Aug 1, 2021"
DFX Finance,DFX,$0.02753,0.46%,$8.58 K,$2.75 M,,0.06x,$5 M,"Jul 30, 2021"
Spores Network,SPO,$0.000597,0.09%,$21.14 K,$2.98 M,$631.81 K,0.12x,$2.96 M,"Jul 29, 2021"
CryptoZoon,ZOON,$0.000835,-0.63%,$29.52 K,$830.56 K,$593.84 K,0.82x,$306 K,"Jul 29, 2021"
SafeLaunch,SFEX,$0.03456,-4.24%,$438.73,$5 M,,0.07x,$130.5 K,"Jul 29, 2021"
TrustBase,TBE,$0.000131,-4.34%,$1.59 K,$50 M,,0.01x,$50 K,"Jul 28, 2021"
Bitgert,BRISE,$0.0000001,-1.26%,$659.31 K,$98.1 M,$38.9 M,0.57x,$3.15 M,"Jul 28, 2021"
PureFi,UFI,$0.03422,0.84%,$11.93 K,$3.41 M,$2.48 M,0.73x,$1.07 M,"Jul 27, 2021"
Scaleswap,SCA,$0.02047,1.81%,$3.39,$504.97 K,$504.97 K,0.06x,$2.67 M,"Jul 26, 2021"
Yield Guild Games,YGG,$0.3922,1.92%,$43.17 M,$391.9 M,$146.48 M,2.06x,$40.83 M,"Jul 26, 2021"
Splinterlands,SPS,$0.00526,-0.21%,$33.27 K,$7 M,$6.98 M,0.29x,$7.3 M,"Jul 26, 2021"
Ref Finance,REF,$0.1622,1.14%,$40.79 K,$16.21 M,$5.61 M,3.56x,$5.02 M,"Jul 25, 2021"
Coin98 Labs,C98,$0.1199,1.45%,$5.22 M,$119.6 M,$99.72 M,1.6x,$20.25 M,"Jul 22, 2021"
ShapeShift,FOX,$0.04195,2.01%,$55.48 K,$41.88 M,$26.11 M,0.05x,$12.8 M,"Jul 22, 2021"
Mint Club,MINT,$0.0000026,-1.67%,$9.55 K,$2.98 M,$2.71 M,0.13x,$57.6 M,"Jul 20, 2021"
Karura,KAR,$0.07019,-0.56%,$54.81 K,$7.7 M,$7.68 M,0.04x,$98.11 M,"Jul 19, 2021"
DinoSwap,DINO,$0.000585,0.88%,$367.67,$94.83 K,$90.95 K,0.01x,$4.7 M,"Jul 16, 2021"
RealFevr,FEVR,$0.000018,-2.87%,$2.72 K,$278.16 K,$194.02 K,0.03x,$2.8 M,"Jul 16, 2021"
Baanx,BXX,$0.04168,5.83%,$102.4 K,$10.35 M,$825.21 K,0.15x,$20 M,"Jul 14, 2021"
Centrifuge,CFG,$0.3429,-1.52%,$400.72 K,$188.62 M,$170.55 M,0.9x,$53.83 M,"Jul 13, 2021"
Decubate,DCB,$0.03704,-1.00%,$528.99 K,$35.17 M,$14.18 M,2.47x,$1.86 M,"Jul 11, 2021"
OpenOcean,OOE,$0.0082,-4.39%,$128 K,$8.11 M,$4.14 M,0.2x,$5.77 M,"Jul 11, 2021"
Pera Finance,PERA,$0.00039,-9.17%,$19.48,$52.02 K,,0.01x,$2 M,"Jul 11, 2021"
Collector,COLL,$0.00658,,$8.53,$658 K,,0.55x,$3.54 M,"Jul 6, 2021"
Thorstarter,XRUNE,$0.01045,-0.36%,$4.15 K,$5.21 M,$843.2 K,1.04x,$3 M,"Jul 3, 2021"
Railgun,RAIL,$0.7774,-3.81%,$231.48 K,$44.5 M,,1.14x,$10 M,"Jul 3, 2021"
StarLink,STARL,$0.00000068,2.91%,$211.57 K,$6.8 M,$6.79 M,0.06x,$80.97 K,"Jul 1, 2021"
SWAPZ.app,SWAPZ,$0.000719,-0.96%,$30.56,$207.41 K,$134.82 K,0.14x,$265.25 K,"Jul 1, 2021"
ZoidPay,ZPAY,$0.00657,-13.14%,$253.46 K,$4.58 M,,0.05x,,"Jul 1, 2021"
Polker,PKR,$0.000842,6.62%,$130.01,$842 K,$163.04 K,0.04x,$752.25 K,"Jun 30, 2021"
PolkaWar,PWAR,$0.0011,2.36%,$6.9 K,$91.1 K,$91.1 K,0.01x,$1.98 M,"Jun 30, 2021"
SX Network,SX,$0.06691,1.37%,$66.69,$33.52 M,,0.15x,$9.5 M,"Jun 29, 2021"
Yieldly,YLDY,$0.000015,2.35%,$70.96,$140 K,,0.01x,$2.25 M,"Jun 28, 2021"
HaloDAO,RNBW,$0.00000002,21.96%,$9.09,$2.44,$0.14,0.01x,$3.77 M,"Jun 28, 2021"
Floki Inu,FLOKI,$0.000124,0.13%,$145.55 M,$1.2 B,$1.19 B,2.71x,$6.34 M,"Jun 28, 2021"
Evanesco,EVA,$0.000672,0.76%,$3.07 K,$26.88 K,,0.01x,$404.78 K,"Jun 27, 2021"
Dopex,DPX,$12.02,0.65%,$115.16 K,$6.06 M,,0.09x,$2.25 M,"Jun 24, 2021"
VitaDAO,VITA,$1.506,13.83%,$109.48 K,$29.1 M,,1.62x,$6 M,"Jun 23, 2021"
Taboo Token,TABOO,$0.000289,-3.32%,$9.53 K,$2.82 M,$2.83 M,0.01x,$121.22 K,"Jun 23, 2021"
TribeOne,HAKA,$0.0029,1.10%,$679.13 K,$366.19 K,,0.03x,$286 K,"Jun 23, 2021"
Tranchess,CHESS,$0.1107,-0.55%,$1.02 M,$33.24 M,$18.39 M,1.11x,$1.5 M,"Jun 23, 2021"
COVA,COVA,$0.000366,0.16%,$90.84 K,$2.38 M,$760.54 K,11.71x,$80 M,"Jun 22, 2021"
Chainge,CHNG,$0.05374,-7.01%,$446.46 K,$64.69 M,$25.48 M,0.78x,$400 K,"Jun 21, 2021"
Chainge Finance,XCHNG,$0.05374,-7.01%,$446.46 K,$64.69 M,$25.48 M,0.73x,$60 M,"Jun 21, 2021"
Covalent,CQT,$0.00566,-9.57%,$97.67 K,$5.68 M,$4.85 M,0.02x,$18.94 M,"Jun 21, 2021"
Dot.Finance,PINK,$0.000287,1.81%,$167.19,$32.81 K,,0.01x,$1.6 M,"Jun 21, 2021"
Bullperks,BLP,$0.02541,-3.31%,$29.25 K,$7.51 M,$758.68 K,0.51x,$2.12 M,"Jun 20, 2021"
Genshiro,GENS,$0.000127,-15.93%,$89.52,$152.4 K,,0.01x,$8 M,"Jun 20, 2021"
Nabox,NABOX,$0.00000479,0.20%,$93.71 K,$4.79 M,$999.26 K,0.16x,$1.38 M,"Jun 20, 2021"
CrossWallet,CWT,$0.00321,0.36%,$184.38,$160 K,,1.61x,$328.5 K,"Jun 20, 2021"
Swarm,BZZ,$0.2581,0.04%,$333.03 K,$16.45 M,$13.58 M,0.14x,$15.93 M,"Jun 20, 2021"
2Crazy,2CRZ,$0.000012,-2.74%,$10.6,$6 K,,0.01x,$550 K,"Jun 19, 2021"
Polychain Monsters,PMON,$0.1164,-3.47%,$446.25,$1.07 M,$396.95 K,0.33x,$833 K,"Jun 18, 2021"
Osmosis,OSMO,$0.3947,0.87%,$1.64 M,$392.9 M,$267.06 M,0.08x,$21 M,"Jun 18, 2021"
Formation Fi,FORM,$0.000151,-8.10%,$855.56,$155 K,$12.04 K,0.01x,$3.65 M,"Jun 18, 2021"
Human Protocol,HMT,$0.0291,7.94%,$10.14 K,$29.1 M,,0.06x,$100.1 M,"Jun 16, 2021"
